Month,day,hourly,Lane#1+#2,percentage_Lane#1+#2,Lane#3+#4+#5+#6,percentage_Lane#3+#4+#5+#6,Lane#7+#8+#9,percentage_Lane#7+#8+#9,Lane#10+#11+#12,percentage_Lane#10+#11+#12,Total Flow,greentime#1+#2,greentime#3+#4+#5+#6,greentime#7+#8+#9,greentime#10+#11+#12
aug,1,0:00,314,0.11,1168,0.41,357,0.125,1024,0.36,2863,13.16,48.96,14.96,42.92
aug,1,1:00,148,0.07,726,0.36,218,0.108,924,0.46,2016,8.81,43.21,12.98,55
aug,1,2:00,53,0.04,459,0.39,117,0.098,562,0.47,1191,5.34,46.25,11.79,56.62
aug,1,3:00,42,0.05,296,0.37,101,0.125,368,0.46,807,6.25,44.01,15.02,54.72
aug,1,4:00,21,0.04,251,0.43,79,0.134,237,0.4,588,4.29,51.22,16.12,48.37
aug,1,5:00,14,0.03,203,0.48,63,0.15,139,0.33,419,4.01,58.14,18.04,39.81
aug,1,6:00,39,0.04,542,0.56,208,0.215,180,0.19,969,4.83,67.12,25.76,22.29
aug,1,7:00,145,0.07,973,0.46,719,0.342,265,0.13,2102,8.28,55.55,41.05,15.13
aug,1,8:00,228,0.08,1334,0.44,1025,0.338,447,0.15,3034,9.02,52.76,40.54,17.68
aug,1,9:00,276,0.1,1295,0.45,981,0.34,336,0.12,2888,11.47,53.81,40.76,13.96
aug,1,10:00,276,0.09,1319,0.45,890,0.301,473,0.16,2958,11.2,53.51,36.11,19.19
aug,1,11:00,288,0.09,1547,0.49,634,0.201,684,0.22,3153,10.96,58.88,24.13,26.03
aug,1,12:00,390,0.12,1760,0.54,503,0.155,584,0.18,3237,14.46,65.25,18.65,21.65
aug,1,13:00,357,0.12,1617,0.52,539,0.175,570,0.18,3083,13.9,62.94,20.98,22.19
aug,1,14:00,415,0.13,1442,0.47,563,0.183,663,0.22,3083,16.15,56.13,21.91,25.81
aug,1,15:00,412,0.13,1532,0.48,549,0.172,697,0.22,3190,15.5,57.63,20.65,26.22
aug,1,16:00,424,0.13,1298,0.4,548,0.169,971,0.3,3241,15.7,48.06,20.29,35.95
aug,1,17:00,409,0.13,1360,0.45,492,0.162,778,0.26,3039,16.15,53.7,19.43,30.72
aug,1,18:00,404,0.12,1379,0.42,643,0.194,890,0.27,3316,14.62,49.9,23.27,32.21
aug,1,19:00,330,0.11,1311,0.43,738,0.242,668,0.22,3047,13,51.63,29.06,26.31
aug,1,20:00,595,0.16,1608,0.45,530,0.147,879,0.24,3612,19.77,53.42,17.61,29.2
aug,1,21:00,416,0.12,1536,0.44,549,0.159,960,0.28,3461,14.42,53.26,19.03,33.29
aug,1,22:00,393,0.12,1450,0.43,549,0.163,983,0.29,3375,13.97,51.56,19.52,34.95
aug,1,23:00,420,0.12,1482,0.41,453,0.125,1262,0.35,3617,13.93,49.17,15.03,41.87
